openDate,state,latitude,longitude,marker
8/30/1993 12:00,AR,36.36435851,-94.21730898,"36.36435851,-94.21730898"
5/2/2011 12:00,AR,36.36435851,-94.21730898,"36.36435851,-94.21730898"
8/13/2010 12:00,AR,36.36435851,-94.21730898,"36.36435851,-94.21730898"
1/1/1977 12:00,AR,36.1979866,-91.63298034,"36.1979866,-91.63298034"
4/1/1974 12:00,AR,34.57838147,-92.58211098,"34.57838147,-92.58211098"
1/26/2000 12:00,AR,35.072411,-92.495163,"35.072411,-92.495163"
8/1/1974 12:00,AR,33.27398635,-93.21479514,"33.27398635,-93.21479514"
8/1/1973 12:00,AR,35.45033276,-93.46403136,"35.45033276,-93.46403136"
1/9/2002 12:00,AR,36.313118,-94.124138,"36.313118,-94.124138"
7/1/1973 12:00,AR,34.58630673,-94.22579079,"34.58630673,-94.22579079"
8/1/1973 12:00,AR,35.25301361,-90.7774353,"35.2530136099999,-90.7774353"
12/5/1978 12:00,AR,35.29197245,-93.71641114,"35.29197245,-93.71641114"
1/29/2004 12:00,AR,35.81585079,-90.67802689,"35.81585079,-90.67802689"
11/18/1980 12:00,AR,33.63658882,-91.80162638,"33.63658882,-91.80162638"
8/18/2004 12:00,AR,34.81088541,-92.48524501,"34.81088541,-92.48524501"
11/1/1969 12:00,AR,35.61653114,-91.25192239,"35.61653114,-91.25192239"
7/18/2012 12:00,AR,34.75825443,-92.30354413,"34.75825443,-92.30354413"
8/13/2014 12:00,AR,36.03844597,-94.25531789,"36.03844597,-94.25531789"
2/2/1988 12:00,AR,36.27531051,-92.60093688,"36.27531051,-92.60093688"
3/1/1968 12:00,AR,36.357195,-92.34124056,"36.357195,-92.34124056"
11/28/1978 12:00,AR,36.41139775,-90.59539943,"36.41139775,-90.59539943"
11/1/1973 12:00,AR,36.25110022,-90.96300087,"36.25110022,-90.96300087"
7/1/1974 12:00,AR,35.16663081,-90.20206756,"35.16663081,-90.20206756"
4/1/1969 12:00,AR,35.46909332,-94.35382843,"35.46909332,-94.35382843"
11/1/1977 12:00,AR,33.56472373,-92.84331589,"33.56472373,-92.84331589"
11/1/1973 12:00,AR,35.69814875,-90.01583911,"35.69814875,-90.01583911"
6/27/2007 12:00,AZ,33.44968399,-111.772102,"33.44968399,-111.772102"
1/28/1997 12:00,AZ,33.637852,-112.098099,"33.637852,-112.098099"
1/14/2004 12:00,AZ,33.45155462,-111.8151006,"33.45155462,-111.81510061"
8/28/2013 12:00,AZ,33.30523341,-111.9469842,"33.30523341,-111.94698415"
6/14/2000 12:00,AZ,33.48041251,-112.001488,"33.48041251,-112.00148798"
4/13/2005 12:00,AZ,33.52629852,-112.1326141,"33.52629852,-112.13261413"
